1;Andorra
2;Emiratos Árabes Unidos
3;Afganistan
4;Antigua y Barbuda
5;Anguila
6;Albania
7;Armenia
8;Antillas Holandesas
9;Angola
10;Antartida
11;Argentina
12;Samoa Americana
13;Austria
14;Australia
15;Aruba
16;Azerbaiyan
17;Bosnia y Herzegovina
18;Barbados
19;Bangladesh
20;Belgica
21;Burkina Faso
22;Bahrein
23;Burundi
24;Benin
25;Bermudas
26;Bolivia
27;Brasil
28;Bahamas
29;Butan
30;Isla Bouvet
31;Bulgaria
32;Botswana
33;Brunei Darussalam
34;Bielorrusia
35;Belice
36;Canada
37;Cocos (Keeling)
38;Republica Centroafricana
39;Congo
40;Suiza
41;Cote D'Ivoire (Costa de Marfil)
42;Islas Cook
43;Chile
44;Camerun
45;China
46;Colombia
47;Costa Rica
48;Cuba
49;Cabo Verde
50;Isla de Navidad
51;Chipre
52;Republica Checa
53;Alemania
54;Djibouti
55;Dinamarca
56;Dominica
57;Republica Dominicana
58;Argelia
59;Ecuador
60;Estonia
61;Egipto
62;Sahara Occidental
63;Eritrea
64;España
65;Etiopia
66;Finlandia
67;Fiji
68;Islas Malvinas (Falkland)
69;Micronesia
70;Islas Feroe
71;Francia
72;Gabón
73;Gran Bretaña (Reino Unido)
74;Granada
75;Georgia
76;GuayanaFrancesa
77;Ghana
78;Gibraltar
79;Groenlandia
80;Gambia
81;Guinea
82;Guadalupe
83;Guinea Ecuatorial
84;Grecia
85;Georgia del Sur y Islas Sandwich del Sur
86;Guatemala
87;Guam
88;Guinea-Bissau
89;Guayana
90;Hong Kong
91;Islas Heard y McDonald
92;Honduras
93;Croacia
94;Haiti
95;Hungria
96;Indonesia
97;Irlanda
98;Israel
99;India
100;Territorio Britanico del Oceano Índico
101;Irak
102;Iran
103;Islandia
104;Italia
105;Jamaica
106;Jordania
107;Japón
108;Kenia
109;Kirguistan
110;Camboya
111;Kiribati
112;Comoras
113;Saint Kitts y Nevis
114;Corea del Norte
115;Corea del Sur
116;Kuwait
117;Las Islas Caiman
118;Kazajstan
119;Laos
120;Libano
121;Santa Lucia
122;Liechtenstein
123;Sri Lanka
124;Liberia
125;Lesoto
126;Lituania
127;Luxemburgo
128;Letonia
129;Libia
130;Marruecos
131;Mónaco
132;Moldavia
133;Madagascar
134;Islas Marshall
135;Macedonia
136;Mali
137;Myanmar
138;Mongolia
139;Macao
140;Islas Marianas del Norte
141;Martinica
142;Mauritania
143;Montserrat
144;Malta
145;Mauricio
146;Maldivas
147;Malawi
148;Mexico
149;Malasia
150;Mozambique
151;Namibia
152;Nueva Caledonia
153;Niger
154;Norfolk Island
155;Nigeria
156;Nicaragua
157;Paises Bajos
158;Noruega
159;Nepal
160;Nauru
161;Niue
162;Nueva Zelanda
163;Oman
164;Panama
165;Peru
166;Polinesia frances
167;Papua Nueva Guinea
168;Filipinas
169;Pakistan
170;Polonia
171;San Pedro y Miquelón
172;Pitcairn
173;Puerto Rico
174;Portugal
175;Palau
176;Paraguay
177;Qatar
178;Reunión
179;Rumania
180;La Federación de Rusia
181;Ruanda
182;Arabia Saudita
183;Las Islas Salomón
184;Seychelles
185;Sudan
186;Suecia
187;Singapur
188;Santa Elena
189;Eslovenia
190;Svalbard y Jan Mayen
191;Republica Eslovaca
192;Sierra Leona
193;San Marino
194;Senegal
195;Somalia
196;Suriname
197;Santo Tome y Principe
198;El Salvador
199;Siria
200;Swazilandia
201;Islas Turcas y Caicos
202;Chad
203;Territorios del sur frances
204;Togo
205;Tailandia
206;Tayikistan
207;Tokelau
208;Turkmenistan
209;Tunez
210;Tonga
211;Timor Oriental
212;Turquia
213;Trinidad y Tobago
214;Tuvalu
215;Taiwan
216;Tanzania
217;Ucrania
218;Uganda
219;Reino Unido
220;Islas menores  deEE.UU.
221;Estados Unidos de America (EE.UU.)
222;Uruguay
223;Uzbekistan
224;Ciudad del Vaticano
225;San Vicente y las Granadinas
226;Venezuela
227;Islas Virgenes (Britanicas)
228;Vietnam
229;Vanuatu
230;Islas Wallis y Futuna
231;Samoa
232;Yemen
233;Mayotte
234;Yugoslavia
235;Sudafrica
236;Zambia
237;Zaire
238;Zimbabue
